TransactionID,Amount,CustomerID,Timestamp,MerchantID,FraudIndicator,TransactionAmount,AnomalyScore,Category,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag,MerchantName,Location
1,0.005405918143126776,1952,2022-01-01 00:00:00,2701,0,0.9033466084793577,0.6744092394453122,2,Customer 1952,50,Address 1952,-1.1207127035098283,2024-08-09,0,446,Location 2701
2,-1.6965931951690822,1027,2022-01-01 01:00:00,2070,0,-1.6794403913782812,-1.424083827579754,1,Customer 1027,46,Address 1027,1.5014260716099415,2022-01-27,0,43,Location 2070
3,-0.20825658919752316,1955,2022-01-01 02:00:00,2238,0,-0.8643783869214641,-1.6249036092916544,4,Customer 1955,34,Address 1955,1.4070706928979715,2024-08-12,0,147,Location 2238
4,-0.549154834789815,1796,2022-01-01 03:00:00,2879,0,-0.37317872740995617,1.3345168568300247,4,Customer 1796,33,Address 1796,-0.05017471900714772,2024-03-06,0,566,Location 2879
5,0.9070052045532644,1946,2022-01-01 04:00:00,2966,0,-0.06910159027682732,-1.5895144287604759,2,Customer 1946,18,Address 1946,0.6337822197017493,2024-08-03,0,629,Location 2966
6,1.2591536441107343,1204,2022-01-01 05:00:00,2757,0,-0.8170335031005413,-1.2873271217808624,0,Customer 1204,45,Address 1204,-1.009436443435137,2022-07-23,0,481,Location 2757
7,-0.16951588841223972,1311,2022-01-01 06:00:00,2096,0,-0.018048429543882853,-1.3264601843375696,0,Customer 1311,25,Address 1311,1.3933356713974672,2022-11-07,0,59,Location 2096
8,0.030692973668926336,1693,2022-01-01 07:00:00,2493,0,-1.4569454889753999,0.9999094717091607,4,Customer 1693,27,Address 1693,1.2009782061795211,2023-11-24,0,312,Location 2493
9,-0.7268043386991377,1347,2022-01-01 08:00:00,2612,1,0.7594208807022734,-1.6713376000565627,3,Customer 1347,20,Address 1347,1.2679158872183884,2022-12-13,0,389,Location 2612
10,-1.5224299845693394,1574,2022-01-01 09:00:00,2638,0,0.4631056589069087,-1.6057574073445868,2,Customer 1574,55,Address 1574,-0.0686258685159081,2023-07-28,0,408,Location 2638
11,1.228579458066311,1424,2022-01-01 10:00:00,2007,0,-1.2253651148727196,-1.418164120671247,2,Customer 1424,37,Address 1424,-0.5398869175882847,2023-02-28,0,3,Location 2007
12,1.6026300533489815,1302,2022-01-01 11:00:00,2746,0,-1.4591945144024487,-0.14065139409221944,0,Customer 1302,54,Address 1302,-1.1993095954907238,2022-10-29,0,472,Location 2746
13,-0.32948630857762357,1321,2022-01-01 12:00:00,2092,0,0.342317551864561,-0.16469697179577142,2,Customer 1321,47,Address 1321,-1.1930757188535388,2022-11-17,0,57,Location 2092
14,1.732337375180587,1700,2022-01-01 13:00:00,2892,0,-0.46633846816274444,1.7519786288882668,4,Customer 1700,22,Address 1700,0.4015771866576673,2023-12-01,0,576,Location 2892
15,1.7733770941704512,1321,2022-01-01 14:00:00,2849,0,-0.7823062495969282,1.1643066796404515,2,Customer 1321,47,Address 1321,-1.1930757188535388,2022-11-17,0,548,Location 2849
16,-1.3831693719845388,1463,2022-01-01 15:00:00,2640,0,-0.315424684190927,-0.12603905425217238,2,Customer 1463,46,Address 1463,-1.5233374368169719,2023-04-08,0,410,Location 2640
17,-0.43298090356783114,1962,2022-01-01 16:00:00,2858,0,1.0715495681479448,-1.4349479783540522,2,Customer 1962,39,Address 1962,0.8954079038126121,2024-08-19,0,554,Location 2858
18,-1.1309613230241409,1854,2022-01-01 17:00:00,2479,0,0.4281315810213785,0.1406228905877394,4,Customer 1854,57,Address 1854,1.671644043408916,2024-05-03,0,303,Location 2479
19,-1.6672879419397792,1651,2022-01-01 18:00:00,2470,1,0.9135427772557936,-0.8334627084548344,0,Customer 1651,58,Address 1651,1.028137231730952,2023-10-13,0,295,Location 2470
20,-1.38048560784528,1715,2022-01-01 19:00:00,2933,0,-1.2548621651655127,-0.7392957316189165,4,Customer 1715,57,Address 1715,1.334266411165791,2023-12-16,0,606,Location 2933
21,-0.7722506715913846,1724,2022-01-01 20:00:00,2835,0,0.18602090050504597,0.6370885620995458,4,Customer 1724,32,Address 1724,1.226755793237906,2023-12-25,0,536,Location 2835
22,1.7441569186360264,1117,2022-01-01 21:00:00,2220,0,-0.0769584452841277,-1.2767277253047162,1,Customer 1117,52,Address 1117,0.6193099376948327,2022-04-27,0,134,Location 2220
23,1.1982194331036289,1613,2022-01-01 22:00:00,2465,0,-1.544226591623884,-1.030098535895496,4,Customer 1613,21,Address 1613,1.091272016935571,2023-09-05,0,291,Location 2465
24,1.1436708320352518,1643,2022-01-01 23:00:00,2480,0,-1.628303034630658,0.4336363623217154,3,Customer 1643,52,Address 1643,0.8342396522494715,2023-10-05,0,304,Location 2480
25,-0.20497260615988117,1788,2022-01-02 00:00:00,2305,0,1.633793019536328,-0.8600316201261724,4,Customer 1788,27,Address 1788,-0.5240355047243562,2024-02-27,0,197,Location 2305
26,-0.11177718021267934,1251,2022-01-02 01:00:00,2753,0,1.5083988260197756,-0.018077787969766168,2,Customer 1251,34,Address 1251,-1.533729419064664,2022-09-08,0,478,Location 2753
27,-1.392975244398639,1960,2022-01-02 02:00:00,2301,0,0.8303271594740165,-0.24124488150702875,2,Customer 1960,34,Address 1960,1.6615331977141714,2024-08-17,0,193,Location 2301
28,-1.7158976980658462,1187,2022-01-02 03:00:00,2914,0,-0.15654145665740524,1.199473993663187,1,Customer 1187,46,Address 1187,-0.34241917170404845,2022-07-06,0,593,Location 2914
29,-1.1996066500923623,1121,2022-01-02 04:00:00,2322,0,0.660514368062277,-0.10039302155931662,2,Customer 1121,23,Address 1121,-0.4451982744860674,2022-05-01,0,206,Location 2322
30,0.58584472083244,1117,2022-01-02 05:00:00,2932,0,1.0747620765356198,0.5353095738169625,3,Customer 1117,52,Address 1117,0.6193099376948327,2022-04-27,0,605,Location 2932
31,1.4855147904305774,1475,2022-01-02 06:00:00,2951,0,0.15758785044541257,-1.6082935636657456,0,Customer 1475,25,Address 1475,-1.1460658588833894,2023-04-20,0,619,Location 2951
32,0.8912056665974736,1993,2022-01-02 07:00:00,2313,0,0.3440006068790657,-1.3123626018038423,1,Customer 1993,60,Address 1993,1.0298260424059649,2024-09-19,0,203,Location 2313
33,0.1578767600573559,1030,2022-01-02 08:00:00,2693,0,-1.5159737033307346,1.0344516762341722,2,Customer 1030,54,Address 1030,-0.7671165046257604,2022-01-30,0,441,Location 2693
34,0.23755687660731029,1116,2022-01-02 09:00:00,2686,0,0.7299885841013116,0.013388675923451913,3,Customer 1116,22,Address 1116,-1.054071011858346,2022-04-26,0,439,Location 2686
35,0.20269335226650276,1676,2022-01-02 10:00:00,2173,0,0.29244997784562227,-1.6264020547099742,1,Customer 1676,38,Address 1676,0.7518408930454891,2023-11-07,0,105,Location 2173
36,-0.5262589040580524,1547,2022-01-02 11:00:00,2674,0,-0.029866365887408295,-1.3412835152726548,3,Customer 1547,31,Address 1547,0.40433728884569947,2023-07-01,0,430,Location 2674
37,0.6334713491871944,1527,2022-01-02 12:00:00,2832,0,-1.5336305173067324,-1.3005488141034136,0,Customer 1527,59,Address 1527,-0.8544771825862661,2023-06-11,0,533,Location 2832
38,-0.36634168545665,1087,2022-01-02 13:00:00,2967,0,-0.7896406504470204,0.6601193544169692,3,Customer 1087,28,Address 1087,-1.0950673313434562,2022-03-28,0,630,Location 2967
39,-1.6267356488981874,1207,2022-01-02 14:00:00,2201,0,-0.0977185381379583,1.5478181952683194,2,Customer 1207,38,Address 1207,-0.023560257122917292,2022-07-26,0,123,Location 2201
40,1.0033774725504208,1038,2022-01-02 15:00:00,2995,0,1.2829279529760864,0.13989037490767273,2,Customer 1038,62,Address 1038,-0.12308181088506193,2022-02-07,0,647,Location 2995
41,-0.30010132204311807,1800,2022-01-02 16:00:00,2596,0,-1.6371214158233027,-0.59943394163039,2,Customer 1800,58,Address 1800,0.3607041735615626,2024-03-10,0,380,Location 2596
42,1.1858338185195387,1510,2022-01-02 17:00:00,2518,0,-0.6343325184577692,-0.9620412749239194,3,Customer 1510,53,Address 1510,0.7758422226123817,2023-05-25,0,330,Location 2518
43,0.01693629994976429,1104,2022-01-02 18:00:00,2910,0,0.2510787907880159,0.2601261969485266,1,Customer 1104,52,Address 1104,-1.5840848024412664,2022-04-14,0,591,Location 2910
44,1.2601447581642626,2000,2022-01-02 19:00:00,2423,0,1.237034900855288,0.9506369821847799,0,Customer 2000,42,Address 2000,-0.3396407113982585,2024-09-26,0,270,Location 2423
45,0.573172408675302,1644,2022-01-02 20:00:00,2364,0,-1.0218587641286125,0.7470210276395655,1,Customer 1644,51,Address 1644,-0.9483673987057383,2023-10-06,1,231,Location 2364
46,0.9562928250690691,1238,2022-01-02 21:00:00,2274,0,-1.5652429168195523,1.7346281086688826,1,Customer 1238,38,Address 1238,0.9898376302649382,2022-08-26,0,171,Location 2274
47,0.6922919254862482,1759,2022-01-02 22:00:00,2639,0,0.3144571725734638,0.13672655050071192,0,Customer 1759,33,Address 1759,0.35165195355559736,2024-01-29,0,409,Location 2639
48,-1.5066603233938014,1994,2022-01-02 23:00:00,2233,0,-0.7108353101035828,-1.5958225798648835,4,Customer 1994,63,Address 1994,1.2113233324876689,2024-09-20,0,144,Location 2233
49,-0.981757434237517,1752,2022-01-03 00:00:00,2239,1,-1.6837920594724776,-1.6864299156067193,2,Customer 1752,46,Address 1752,0.3296112698217141,2024-01-22,0,148,Location 2239
50,0.23777011751327776,1415,2022-01-03 01:00:00,2946,0,-1.4546404973935982,-1.5525136936761543,1,Customer 1415,57,Address 1415,1.3952392992040168,2023-02-19,0,615,Location 2946
51,-0.531509476777108,1044,2022-01-03 02:00:00,2638,0,-1.0518833529723068,1.4773011766226347,3,Customer 1044,22,Address 1044,-0.24857054395959996,2022-02-13,0,408,Location 2638
52,1.4134441713029848,1374,2022-01-03 03:00:00,2770,0,1.5360212964503992,-1.5149795616461712,3,Customer 1374,47,Address 1374,-1.1099570996972126,2023-01-09,0,489,Location 2770
53,-0.5311960574732232,1345,2022-01-03 04:00:00,2262,0,-0.45429960369303124,0.26515483794729205,0,Customer 1345,52,Address 1345,0.6101617141023036,2022-12-11,0,161,Location 2262
54,1.2922368134599793,1680,2022-01-03 05:00:00,2920,0,-0.643013528056516,-1.3204389966817272,1,Customer 1680,43,Address 1680,-1.7355833200427,2023-11-11,0,597,Location 2920
55,0.2688138332450072,1043,2022-01-03 06:00:00,2312,0,0.9225020346898143,0.47571501336607735,2,Customer 1043,25,Address 1043,0.9928222142109295,2022-02-12,0,202,Location 2312
56,1.1076935141051902,1611,2022-01-03 07:00:00,2292,0,1.6695061781677523,0.04327236786336885,3,Customer 1611,21,Address 1611,-0.82803569443468,2023-09-03,0,186,Location 2292
57,-0.2263159043188366,1704,2022-01-03 08:00:00,2082,0,1.6168162616409842,0.7638595751119389,4,Customer 1704,23,Address 1704,-1.5929775009257723,2023-12-05,0,50,Location 2082
58,-1.6885894069405776,1405,2022-01-03 09:00:00,2921,0,1.1550612038479169,0.4544549883818426,0,Customer 1405,59,Address 1405,1.390593937973063,2023-02-09,0,598,Location 2921
59,-1.0682026429115024,1161,2022-01-03 10:00:00,2033,0,0.21150391730813492,0.6822024789953801,0,Customer 1161,55,Address 1161,0.7205168847724153,2022-06-10,0,20,Location 2033
60,1.0982852036795354,1336,2022-01-03 11:00:00,2479,0,0.020565161114978994,0.7247541111834196,3,Customer 1336,42,Address 1336,1.6861440116755115,2022-12-02,0,303,Location 2479
61,0.8268615256155494,1714,2022-01-03 12:00:00,2684,0,-0.1391549310546494,-0.3834119399096397,4,Customer 1714,36,Address 1714,1.2116353977272831,2023-12-15,0,437,Location 2684
62,0.44563010428655103,1865,2022-01-03 13:00:00,2234,0,1.2329035280746903,-0.1540175983086551,4,Customer 1865,45,Address 1865,-0.4911345786457196,2024-05-14,0,145,Location 2234
63,-0.194656577197848,1702,2022-01-03 14:00:00,2286,0,-1.282238472004219,0.9599446760092946,2,Customer 1702,32,Address 1702,-0.37749303778090887,2023-12-03,0,182,Location 2286
64,-0.009263469227980192,1483,2022-01-03 15:00:00,2131,0,-1.7210628310836213,-0.53126577837496,1,Customer 1483,56,Address 1483,0.7190096764596957,2023-04-28,0,80,Location 2131
65,0.9154519415235243,1139,2022-01-03 16:00:00,2195,0,0.7264671478496304,-1.377444826161777,2,Customer 1139,21,Address 1139,-1.0538329105714375,2022-05-19,0,119,Location 2195
66,-0.15884510008666416,1108,2022-01-03 17:00:00,2561,0,-1.5147397851969966,-1.3354826675636255,2,Customer 1108,33,Address 1108,0.8189398858623239,2022-04-18,0,358,Location 2561
67,1.0357066754190154,1056,2022-01-03 18:00:00,2171,0,0.13926442308429904,-1.1192500222244293,3,Customer 1056,46,Address 1056,-0.8695347708018814,2022-02-25,0,103,Location 2171
68,1.5897559215594013,1548,2022-01-03 19:00:00,2781,0,0.3387535980652563,0.18884073845910457,2,Customer 1548,29,Address 1548,-0.48530126553155795,2023-07-02,0,500,Location 2781
69,1.267583407538737,1887,2022-01-03 20:00:00,2038,0,-0.6033234868933739,0.76666771977564,3,Customer 1887,40,Address 1887,-0.6848947733626457,2024-06-05,0,24,Location 2038
70,0.9299101542958682,1897,2022-01-03 21:00:00,2475,0,-0.8691104445041774,-0.9481881863347054,2,Customer 1897,27,Address 1897,-1.2589233943203126,2024-06-15,0,299,Location 2475
71,-1.2606071357638151,1154,2022-01-03 22:00:00,2487,0,0.32157711350507723,0.20765400592160124,1,Customer 1154,48,Address 1154,-0.067298164823147,2022-06-03,0,307,Location 2487
72,0.0766727995454837,1286,2022-01-03 23:00:00,2495,1,-0.07427309801700603,-1.1464912675896228,1,Customer 1286,19,Address 1286,0.7681319543586757,2022-10-13,0,313,Location 2495
73,0.5000812733578005,1149,2022-01-04 00:00:00,2200,0,-0.009568900873046723,0.672029960787034,4,Customer 1149,34,Address 1149,0.8958876273511849,2022-05-29,0,122,Location 2200
74,-1.5616170560432243,1158,2022-01-04 01:00:00,2296,0,1.5219148886024156,1.61334173649193,4,Customer 1158,50,Address 1158,-0.2671062624074572,2022-06-07,0,190,Location 2296
75,-1.6750896217307993,1606,2022-01-04 02:00:00,2872,0,-1.1548346646946221,1.0129541865284675,2,Customer 1606,60,Address 1606,-0.6154324496985815,2023-08-29,0,563,Location 2872
76,-0.5038781868290665,1422,2022-01-04 03:00:00,2036,0,1.3893912024484962,-0.012813745321525665,0,Customer 1422,32,Address 1422,0.5011493844477664,2023-02-26,0,22,Location 2036
77,-0.5660122485385531,1007,2022-01-04 04:00:00,2753,0,0.39486599481817397,-0.9518266151722935,4,Customer 1007,33,Address 1007,-1.0860291327523313,2022-01-07,0,478,Location 2753
78,0.10949353361538323,1985,2022-01-04 05:00:00,2116,0,0.5749255602217873,-0.3404721183418121,2,Customer 1985,47,Address 1985,-0.7476601016972193,2024-09-11,0,69,Location 2116
79,-1.626616938748357,1776,2022-01-04 06:00:00,2203,0,0.36866242544335587,0.4031885258002381,1,Customer 1776,31,Address 1776,-0.787511779140459,2024-02-15,0,125,Location 2203
80,-1.446918688754882,1159,2022-01-04 07:00:00,2083,0,-1.1725490475855251,-1.619000430372796,3,Customer 1159,54,Address 1159,0.020129927060732675,2022-06-08,0,51,Location 2083
81,-1.0200227374507032,1493,2022-01-04 08:00:00,2552,0,-0.0545646484189545,-1.0111140993520928,4,Customer 1493,44,Address 1493,-0.004888497493770939,2023-05-08,0,351,Location 2552
82,-0.6769618793809702,1322,2022-01-04 09:00:00,2282,0,1.3062398040041427,-1.4128782200278043,1,Customer 1322,29,Address 1322,1.4555705856367123,2022-11-18,0,178,Location 2282
83,-1.4878963631928144,1731,2022-01-04 10:00:00,2610,0,0.5636204769054706,-1.6560536884095332,0,Customer 1731,62,Address 1731,-0.17308695024971316,2024-01-01,0,387,Location 2610
84,-1.2938819072792598,1876,2022-01-04 11:00:00,2901,0,-1.6906577278516959,1.241192290522652,1,Customer 1876,31,Address 1876,1.0094557853601454,2024-05-25,0,584,Location 2901
85,-1.3146150106158065,1920,2022-01-04 12:00:00,2323,0,-0.3048073534055619,1.3651943972810021,3,Customer 1920,33,Address 1920,-0.8982361060784871,2024-07-08,0,207,Location 2323
86,0.6032518554848298,1618,2022-01-04 13:00:00,2534,0,-0.9866067272672924,0.5884423362389211,3,Customer 1618,27,Address 1618,0.4040463710005343,2023-09-10,0,341,Location 2534
87,0.9241396991289115,1054,2022-01-04 14:00:00,2586,0,0.12299844483602035,0.7505179378985964,3,Customer 1054,27,Address 1054,-1.1190783308838097,2022-02-23,0,373,Location 2586
88,-0.7899040597569693,1886,2022-01-04 15:00:00,2882,0,0.1984859873892854,-1.5808503603210737,4,Customer 1886,37,Address 1886,1.4775469990004269,2024-06-04,0,569,Location 2882
89,-1.1727723885191181,1071,2022-01-04 16:00:00,2055,0,0.8400687652309323,-0.180349771604209,3,Customer 1071,64,Address 1071,-0.2966125378556418,2022-03-12,0,35,Location 2055
90,1.1958315486886808,1975,2022-01-04 17:00:00,2622,0,-0.2566518337851281,-1.7068490775816505,3,Customer 1975,51,Address 1975,1.179603436315111,2024-09-01,0,395,Location 2622
91,-0.29124644490316043,1726,2022-01-04 18:00:00,2140,0,0.5534370263179241,0.13979131542927078,1,Customer 1726,23,Address 1726,1.6421450095719343,2023-12-27,0,86,Location 2140
92,-1.0519785087262183,1435,2022-01-04 19:00:00,2010,0,-0.8441309866464862,-1.3247436362570264,0,Customer 1435,35,Address 1435,1.2165269450327152,2023-03-11,0,5,Location 2010
93,1.7061028959215445,1684,2022-01-04 20:00:00,2111,0,-0.25423134270614356,-1.0479511320921022,4,Customer 1684,43,Address 1684,0.7267014299735374,2023-11-15,0,65,Location 2111
94,0.9729329892830118,1277,2022-01-04 21:00:00,2680,0,1.1508028525992373,-0.11056615647269967,4,Customer 1277,22,Address 1277,-0.2651400851257489,2022-10-04,0,435,Location 2680
95,-0.1994930600591578,1828,2022-01-04 22:00:00,2600,1,0.6301366845055479,0.49559063891446137,2,Customer 1828,62,Address 1828,-1.4326851855093639,2024-04-07,0,383,Location 2600
96,1.7203028564084502,1466,2022-01-04 23:00:00,2054,0,-1.1371488589412428,0.00943783636616151,3,Customer 1466,41,Address 1466,-1.2390787840224158,2023-04-11,0,34,Location 2054
97,-1.485658235986946,1922,2022-01-05 00:00:00,2432,0,1.312242021013694,-0.6528749118590849,2,Customer 1922,46,Address 1922,-0.24194205388181828,2024-07-10,0,273,Location 2432
98,0.019647506026285403,1183,2022-01-05 01:00:00,2346,0,-1.33212775721316,-0.696225114951362,2,Customer 1183,40,Address 1183,0.5649346644043658,2022-07-02,0,219,Location 2346
99,0.8559472241717146,1866,2022-01-05 02:00:00,2299,0,-1.5605933039517161,-0.86837554123797,1,Customer 1866,35,Address 1866,1.4944257025792351,2024-05-15,0,192,Location 2299
100,-1.6879715872555292,1514,2022-01-05 03:00:00,2027,0,1.4629103671854942,-0.5369657943100166,2,Customer 1514,20,Address 1514,-1.4454672538982511,2023-05-29,0,18,Location 2027
101,0.14083313938503264,1023,2022-01-05 04:00:00,2433,0,1.2703155395582597,1.6238317368345083,0,Customer 1023,34,Address 1023,1.5083288123687557,2022-01-23,0,274,Location 2433
102,0.24998226501786233,1012,2022-01-05 05:00:00,2736,0,1.5963254896269161,-0.7898667737787788,1,Customer 1012,45,Address 1012,-1.185118035027859,2022-01-12,0,465,Location 2736
103,-1.7134556888046228,1585,2022-01-05 06:00:00,2744,0,1.0703098558214372,-0.5515489312163163,3,Customer 1585,37,Address 1585,0.8604073332407234,2023-08-08,0,470,Location 2744
104,-1.546149369691229,1914,2022-01-05 07:00:00,2433,0,1.4461161859922416,-0.5287571795777105,4,Customer 1914,18,Address 1914,0.16374853778372214,2024-07-02,0,274,Location 2433
105,0.3505834951314541,1979,2022-01-05 08:00:00,2453,0,-0.6191093346798024,-0.9365151340403252,2,Customer 1979,20,Address 1979,1.184300278851588,2024-09-05,0,285,Location 2453
106,-1.6553325785494863,1995,2022-01-05 09:00:00,2154,0,-0.036945602818967416,-0.2453120771057591,4,Customer 1995,38,Address 1995,-1.3684917461414654,2024-09-21,0,94,Location 2154
107,0.10735392986774353,1359,2022-01-05 10:00:00,2908,0,1.1531396197657233,-0.4364777242441234,1,Customer 1359,53,Address 1359,1.0694237006732814,2022-12-25,0,590,Location 2908
108,1.652776249167252,1609,2022-01-05 11:00:00,2967,0,0.3349564139376662,1.3842361905786924,1,Customer 1609,29,Address 1609,0.5395248905146813,2023-09-01,0,630,Location 2967
109,-0.2656572889218059,1796,2022-01-05 12:00:00,2508,0,0.40875455324277676,1.0064779053506754,0,Customer 1796,33,Address 1796,-0.05017471900714772,2024-03-06,0,323,Location 2508
110,-0.4450060988380702,1685,2022-01-05 13:00:00,2580,0,0.060899250505543956,-1.6856965918312694,2,Customer 1685,18,Address 1685,-1.051231241323759,2023-11-16,0,369,Location 2580
111,-1.309301191768199,1961,2022-01-05 14:00:00,2570,0,-1.734193895962121,0.6736487944384605,3,Customer 1961,47,Address 1961,-0.890345712391565,2024-08-18,0,363,Location 2570
112,-0.5952296440169978,1740,2022-01-05 15:00:00,2493,0,-1.3244998871517055,-0.6997142790107792,2,Customer 1740,19,Address 1740,-1.5483792665709428,2024-01-10,0,312,Location 2493
113,0.7601915553130469,1836,2022-01-05 16:00:00,2628,0,-0.9495260654803745,-0.3937465001837074,1,Customer 1836,47,Address 1836,-0.6681834679209179,2024-04-15,0,400,Location 2628
114,0.8853362668579459,1120,2022-01-05 17:00:00,2240,0,1.6108155668582274,1.2008877755324634,4,Customer 1120,47,Address 1120,0.6832589692586634,2022-04-30,0,149,Location 2240
115,-0.5888307272875167,1841,2022-01-05 18:00:00,2941,0,-1.3390231670788326,1.2577764059072174,3,Customer 1841,22,Address 1841,1.4193287336688183,2024-04-20,0,612,Location 2941
116,0.300381467393768,1930,2022-01-05 19:00:00,2507,0,1.104884999039122,-0.21289032854928455,0,Customer 1930,61,Address 1930,-1.8130116262658684,2024-07-18,0,322,Location 2507
117,-0.46656188934374276,1423,2022-01-05 20:00:00,2128,0,0.7473041667123119,1.2848858256820195,4,Customer 1423,40,Address 1423,0.5158995001324456,2023-02-27,0,77,Location 2128
118,0.04828685582181154,1575,2022-01-05 21:00:00,2428,0,-0.9518149806982645,1.494155293123103,3,Customer 1575,21,Address 1575,0.5817435973124933,2023-07-29,0,271,Location 2428
119,-1.5030964242652727,1780,2022-01-05 22:00:00,2572,1,-1.3928352938176891,1.2483099117339547,3,Customer 1780,48,Address 1780,1.0862177748252355,2024-02-19,0,365,Location 2572
120,0.5363497038569718,1894,2022-01-05 23:00:00,2304,0,1.021178266567352,-1.5591675802160565,3,Customer 1894,26,Address 1894,1.5804421820955907,2024-06-12,0,196,Location 2304
121,-0.9199662867702896,1240,2022-01-06 00:00:00,2794,0,1.5042838176949231,0.8800161634247815,3,Customer 1240,43,Address 1240,-1.5090968580749156,2022-08-28,0,507,Location 2794
